
[2020-02-22 19:59:22,379][discord.gateway]:Shard ID None has sent the IDENTIFY payload.

[2020-02-22 19:59:22,599][discord.gateway]:Shard ID None has connected to Gateway: ["gateway-prd-main-7l95",{"micros":56916,"calls":["discord-sessions-prd-1-5",{"micros":53031,"calls":["start_session",{"micros":50613,"calls":["api-prd-main-p041",{"micros":47183,"calls":["get_user",{"micros":2831},"add_authorized_ip",{"micros":2422},"get_guilds",{"micros":2212},"coros_wait",{"micros":1}]}]},"guilds_connect",{"micros":11,"calls":[]},"presence_connect",{"micros":1,"calls":[]}]}]}] (Session ID: 3ba0ff8d4d11608a7f1637c8998c27ae).

[2020-02-22 19:59:24,604][exts.essentials]:Logged in as Test Bot#6948

[2020-02-22 20:00:07,204][exts.essentials]:Switching to invisible mode

[2020-02-22 20:00:15,122][exts.essentials]:Closing connection to discord

[2020-02-22 20:00:16,302][discord.gateway]:Websocket closed with 1000 (), cannot reconnect.

[2020-02-22 20:00:16,302][discord.client]:Cleaning up tasks.

[2020-02-22 20:00:16,302][discord.client]:Cleaning up after 3 tasks.

[2020-02-22 20:00:16,303][discord.client]:All tasks finished cancelling.

[2020-02-22 20:00:16,303][discord.client]:Closing the event loop.

[2020-02-22 20:00:29,283][utilities]:Innitalized utilities logger

[2020-02-22 20:00:29,284][help]:Innitalized help logger

[2020-02-22 20:00:29,284][config]:Innitalized config logger

[2020-02-22 20:00:29,285][__main__]:Initalized __main__ logger

[2020-02-22 20:00:29,285][discord]:Initalized discord's logger

[2020-02-22 20:00:29,286][exts.slapping]:Innitalized exts.slapping logger

[2020-02-22 20:00:29,287][exts.essentials]:Innitalized exts.essentials logger

[2020-02-22 20:00:29,288][exts.development]:Innitalized exts.development logger

[2020-02-22 20:00:29,289][exts.embedding]:Innitalized exts.embedding logger

[2020-02-22 20:00:29,289][exts.role]:Innitalized exts.role logger

[2020-02-22 20:00:29,290][exts.poll]:Innitalized exts.poll logger

[2020-02-22 20:00:29,290][exts.time]:Innitalized exts.time logger

[2020-02-22 20:00:29,291][discord.client]:logging in using static token

[2020-02-22 20:00:39,311][discord.client]:Cleaning up tasks.

[2020-02-22 20:00:39,311][discord.client]:Closing the event loop.

[2020-02-22 20:01:27,173][utilities]:Innitalized utilities logger

[2020-02-22 20:01:27,174][help]:Innitalized help logger

[2020-02-22 20:01:27,174][config]:Innitalized config logger

[2020-02-22 20:01:27,175][__main__]:Initalized __main__ logger

[2020-02-22 20:01:27,175][discord]:Initalized discord's logger

[2020-02-22 20:01:27,176][exts.slapping]:Innitalized exts.slapping logger

[2020-02-22 20:01:27,177][exts.essentials]:Innitalized exts.essentials logger

[2020-02-22 20:01:27,178][exts.development]:Innitalized exts.development logger

[2020-02-22 20:01:27,178][exts.embedding]:Innitalized exts.embedding logger

[2020-02-22 20:01:27,179][exts.role]:Innitalized exts.role logger

[2020-02-22 20:01:27,180][exts.poll]:Innitalized exts.poll logger

[2020-02-22 20:01:27,180][exts.time]:Innitalized exts.time logger

[2020-02-22 20:01:27,182][discord.client]:logging in using static token

[2020-02-22 20:01:48,357][discord.gateway]:Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6&compress=zlib-stream

[2020-02-22 20:01:48,360][discord.gateway]:Shard ID None has sent the IDENTIFY payload.

